Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,9350293,9976,937.3,928.0,896,1152,25.9,"void at_cuda_detail::cub::DeviceRadixSortExclusiveSumKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy900, unsigned long long>(T2 *)"
0.0,8413520,2304,3651.7,3648.0,3392,4160,132.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_f16_32x32_64x2_nn_align8>(T1::Params)
0.0,8317658,3048,2728.9,2752.0,2176,4256,214.4,_qsa_pool_update_ring_kernel
0.0,7665493,336,22814.0,25216.0,6464,26464,6625.4,"dsa_topk_merge_kernel(const int *, const __half *, const int *, int *, int, int, int, __half *, int *, int, int)"
0.0,6772936,106,63895.6,65472.0,44672,66047,5475.4,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x128_64x3_tn_align8>(T1::Params)
0.0,6720288,326,20614.4,29680.0,960,36384,14716.0,"ple_gate_kernel(const float *, const __half *, float *, unsigned long, int, int, float)"
0.0,6629887,204,32499.4,28288.0,1568,70400,31253.8,"void rms_norm_kernel<(int)0, __half, __half, __half, __half>(const T2 *, const T4 *, T3 *, T5 *, float, int, int, float, float, int)"
0.0,6238299,588,10609.4,10592.0,8192,11264,237.9,"void exl3_gemv_kernel<(int)4, (bool)0, (int)2, (int)1, (int)0, (bool)0>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
0.0,6123542,1512,4050.0,4032.0,3712,4640,158.4,"void conv1d_update_kernel<(bool)1, (bool)1>(const __nv_bfloat16 *, __nv_bfloat16 *, const int *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int)"
0.0,6116853,1512,4045.5,4032.0,3648,4608,173.6,"void gdn_ba_gemv_kernel<(int)8>(const __half *, const __half *, const __half *, float *, int, int)"
0.0,5842845,1512,3864.3,3808.0,3488,5856,259.2,"void conv1d_update_kernel<(bool)1, (bool)0>(const __nv_bfloat16 *, __nv_bfloat16 *, const int *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int)"
0.0,5789234,16,361827.1,362703.5,354751,367934,6074.0,"void f16acc::rate_kernel<(bool)0>(int, float *)"
0.0,5617175,4140,1356.8,1472.0,864,1952,332.1,_qsa_raw_ring_append_kernel
0.0,5600953,1520,3684.8,3680.0,3584,4032,68.0,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_gather_internal_kernel<(bool)1, at::native::OpaqueType<(int)8>, long>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,5559163,1152,4825.7,4832.0,4256,5504,218.0,void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_f16_64x64_32x6_nn_align8>(T1::Params)
0.0,5452190,48,113587.3,92048.0,90720,158400,31317.2,"void exl3_gemm_kernel<(int)6, (bool)0, (int)2, (int)16, (int)32, (int)128, (int)4, (int)3>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
0.0,4909756,184,26683.5,25583.5,12576,104032,24509.9,"void exl3_gemm_kernel<(int)5, (bool)0, (int)2, (int)16, (int)32, (int)128, (int)4, (int)3>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
0.0,4809466,3072,1565.6,1568.0,1440,2016,78.1,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __half, float, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,4598812,3024,1520.8,1536.0,1216,2176,158.6,"void gated_delta_net_fused_op_3_kernel<__nv_bfloat16>(const float *, const float *, const __nv_bfloat16 *, const T1 *, __nv_bfloat16 *, __nv_bfloat16 *, float *, int, int, int, int, float)"
0.0,4462844,1512,2951.6,2944.0,2720,3264,75.6,"void gdn_ba_gemv_kernel<(int)1>(const __half *, const __half *, const __half *, float *, int, int)"
0.0,4354206,142,30663.4,17312.0,8640,149760,42625.3,"void exl3_gemm_kernel<(int)6, (bool)1, (int)2, (int)16, (int)32, (int)128, (int)4, (int)3>(const __half *, const unsigned short *, void *, int, int, int, int *, const __half *, __half *, const __half *)"
0.0,4158433,126,33003.4,37472.0,21664,40224,7781.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align8>(T1::Params)
0.0,4022999,224,17959.8,17808.0,17344,18848,382.5,"void dequant_cache_paged_kernel<(int)8, (int)8>(const unsigned int *, const __half *, __half *, const unsigned int *, const __half *, __half *, const unsigned int *, const unsigned int *, int, int, int, int, float, int, int)"
0.0,3893690,2824,1378.8,1408.0,992,4384,298.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,3524543,48,73428.0,63008.0,62688,94784,14895.7,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x3_nn_align8>(T1::Params)
0.0,3469631,368,9428.3,15904.0,960,16224,7183.7,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,3307867,1520,2176.2,2144.0,2080,2368,47.1,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<float>>>(T4)"
0.0,3185824,208,15316.5,15296.0,14784,16192,283.9,"void reconstruct_had_kernel<(int)5, (int)2>(__half *, const unsigned short *, const __half *, const __half *, int, int)"
0.0,3179386,1520,2091.7,2016.0,1728,2816,231.3,"void at::cuda::kernelHistogram1D<long, long, long, (int)1, (int)2, (int)-1, (at::cuda::CUDAHistogramMemoryType)0, bool at::cuda::CUDA_tensor_histogram<long, long, (bool)0>(at::Tensor, at::Tensor, at::Tensor, long, at::AccumulateType<T2, (bool)1>::type, at::AccumulateType<T2, (bool)1>::type, at::cuda::TensorArgType, at::cuda::TensorArgType, at::cuda::TensorArgType)::[lambda(long) (instance 2)]>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, long, at::AccumulateType<T2, (bool)1>::type, at::AccumulateType<T2, (bool)1>::type, T3, T8)"
0.0,3041653,162,18775.6,28864.0,832,30912,12991.5,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)3, (int)128, (int)1, (int)8>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,2900186,16,181261.6,181616.0,177664,184416,3118.7,"void f16acc::rate_kernel<(bool)1>(int, float *)"
0.0,2885210,391,7379.1,736.0,608,67199,17915.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,2878747,402,7161.1,7104.0,6976,7424,121.6,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,2842107,1520,1869.8,1856.0,1760,2144,52.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::MinNanFunctor<long>>, unsigned int, long, (int)4, (int)4>>(T3)"
0.0,2832095,1520,1863.2,1856.0,1760,2144,49.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::MaxNanFunctor<long>>, unsigned int, long, (int)4, (int)4>>(T3)"
0.0,2820766,1092,2583.1,2592.0,1728,3328,388.8,_qsa_pool_update_ring_bc_kernel
0.0,2512090,804,3124.5,3152.0,832,5600,2115.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,2289120,84,27251.4,26880.0,22400,34944,4427.0,"void exl3_mgemm_kernel<(int)6, (bool)0, (int)2, (int)16, (int)16, (int)512, (int)4, (int)3>(const __half *, const unsigned short **, void *, int, int, int, int *, const __half **, __half *, const __half **, long *, __half *, int, int, int, int, int, const int *, void **, const int *, const int *, int)"
0.0,2269306,402,5645.0,5632.0,5472,6048,109.2,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(signed char) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,2224701,672,3310.6,3296.0,3008,3840,135.5,"void <unnamed>::fs_partial_argmax_kernel<__half, (int)0>(const T1 *, const __half *, const unsigned int *, const float *, ValIdx *, const unsigned char *, int, int, int, bool, int, float, float, int, float, unsigned int)"
0.0,2110556,402,5250.1,5216.0,4992,5632,135.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::round_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,2107578,402,5242.7,5248.0,4896,5856,207.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,2103770,3067,685.9,672.0,640,1952,84.0,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,1818206,672,2705.7,2752.0,1920,3968,568.2,batched_conv_rewind_kernel(ConvRewindJobBatch)
0.0,1753662,1520,1153.7,1152.0,1056,1376,43.5,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
0.0,1717278,312,5504.1,6992.0,1472,8224,2218.5,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)128, (int)1, (int)8>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,1565754,201,7789.8,7744.0,7072,8320,170.0,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,1454559,201,7236.6,7200.0,7104,7456,83.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,1387167,42,33027.8,32624.0,30592,37152,1587.8,"void exl3_moe_coop_v2_ns::exl3_moe_coop_b_kernel<(int)4, (int)2, (bool)0>(MoeCoopParams)"
0.0,1364031,42,32476.9,32848.0,28256,33856,1558.7,"void exl3_moe_coop_v2_ns::exl3_moe_coop_a_kernel<(int)4, (int)2, (bool)1>(MoeCoopParams)"
0.0,1341503,204,6576.0,7328.0,1504,11872,4932.7,"void rms_norm_kernel<(int)0, __half, __half, __nv_bfloat16, __half>(const T2 *, const T4 *, T3 *, T5 *, float, int, int, float, float, int)"
0.0,939520,42,22369.5,22336.0,21952,22816,214.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_nn_align8>(T1::Params)
0.0,798400,326,2449.1,2656.0,1664,3072,431.1,"ngram_dequant_kernel(const short *, const int *, const __half *, __half *, int, int)"
0.0,768896,201,3825.4,3808.0,3616,4224,142.1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float>>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,728478,672,1084.0,1024.0,992,1664,141.1,"<unnamed>::fs_finalize_kernel(const ValIdx *, unsigned long *, int)"
0.0,654656,42,15587.0,15472.0,14912,16992,364.4,"void exl3_mgemm_kernel<(int)6, (bool)0, (int)2, (int)16, (int)32, (int)128, (int)4, (int)3>(const __half *, const unsigned short **, void *, int, int, int, int *, const __half **, __half *, const __half **, long *, __half *, int, int, int, int, int, const int *, void **, const int *, const int *, int)"
0.0,630655,352,1791.6,704.0,640,9312,1704.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::Half>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,481309,42,11459.7,11471.5,10624,11680,146.7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::Half, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
0.0,357023,336,1062.6,1024.0,992,1312,74.7,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,330494,336,983.6,960.0,896,1280,82.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<long, long, bool, at::native::<unnamed>::CompareEqFunctor<long>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,322559,336,960.0,928.0,864,1472,139.1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::FillFunctor<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,295103,336,878.3,864.0,800,1120,67.3,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)8>, unsigned int, (int)1, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,262368,336,780.9,704.0,640,1312,179.2,"void at::native::unrolled_elementwise_kernel<at::native::FillFunctor<c10::Half>, std::array<char *, (unsigned long)1>, (int)4, TrivialOffsetCalculator<(int)0, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.0,219805,142,1547.9,1328.0,1024,2272,463.6,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,197952,42,4713.1,4704.0,4608,4992,87.8,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,195871,204,960.2,960.0,832,1056,47.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,162528,122,1332.2,1376.0,960,1600,150.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,152608,224,681.3,672.0,640,736,20.8,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,148159,1,148159.0,148159.0,148159,148159,0.0,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 5)]::operator ()() const::[lambda(short) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,145312,16,9082.0,9072.0,8736,9760,240.9,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x10_tn_align8>(T1::Params)
0.0,135584,42,3228.2,3232.0,3200,3264,17.6,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
0.0,122400,42,2914.3,2848.0,2816,3424,155.1,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.0,102240,42,2434.3,2432.0,2400,2560,39.6,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)2>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,99968,42,2380.2,2368.0,2336,2528,33.9,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
0.0,97984,16,6124.0,6112.0,6048,6208,41.9,"void had_hf_r_128_kernel<(bool)1, (bool)0>(const __half *, __half *, const __half *, float)"
0.0,95712,16,5982.0,5968.0,5888,6112,60.1,"void had_hf_r_128_kernel<(bool)0, (bool)1>(const __half *, __half *, const __half *, float)"
0.0,94464,16,5904.0,5920.0,5728,6272,151.0,"void reconstruct_kernel<(int)5, (int)2>(__half *, const unsigned short *, int, int)"
0.0,89504,64,1398.5,1408.0,1216,1664,147.3,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_fill_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIterator &, long, long, long, T1)::[lambda(int) (instance 1)]>(long, T3)"
0.0,68544,32,2142.0,2144.0,1248,3072,710.3,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_fill_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIterator &, long, long, long, T1)::[lambda(int) (instance 1)]>(long, T3)"
0.0,43680,25,1747.2,1728.0,1600,2080,106.5,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::<unnamed>::pow_tensor_tensor_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,23008,25,920.3,928.0,864,992,28.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,20000,25,800.0,736.0,672,1120,120.4,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<double>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,16384,5,3276.8,3296.0,3104,3392,114.5,void cutlass::Kernel2<cutlass_80_simt_sgemm_32x128_8x5_nn_align1>(T1::Params)
0.0,9888,10,988.8,992.0,928,1056,38.3,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, at::native::BitwiseAndFunctor<long>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,6624,6,1104.0,1072.0,1056,1184,63.2,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,6176,6,1029.3,1008.0,960,1216,95.8,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::BUnaryFunctor<long, long, long, at::native::rshift_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long, long) (instance 1)]>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,2080,2,1040.0,1040.0,1024,1056,22.6,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,2048,2,1024.0,1024.0,1024,1024,0.0,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,1952,2,976.0,976.0,960,992,22.6,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
